,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
8760,18-24,120,ALL,Philippines,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8761,25-44,860,ALL,Philippines,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8762,45+,250,ALL,Philippines,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8763,18-24,290,ALL,Philippines,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8764,25-44,2600,ALL,Philippines,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8765,45+,820,ALL,Philippines,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8766,18-24,250,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8767,25-44,1600,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8768,45+,380,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8769,18-24,90,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8770,25-44,1200,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8771,45+,450,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8772,18-24,180,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8773,25-44,700,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8774,45+,180,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8775,18-24,90,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8776,25-44,370,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
