,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
13061,45+,150,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13062,18-24,200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13063,25-44,330,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13064,45+,110,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13065,18-24,180,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13066,25-44,280,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13067,45+,130,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13068,18-24,3700,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13069,25-44,10000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13070,45+,1100,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13071,18-24,2300,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13072,25-44,7700,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13073,45+,870,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13074,18-24,3400,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13075,25-44,7700,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13076,45+,1800,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13077,18-24,2800,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13078,25-44,6000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13079,45+,1200,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13080,18-24,1800,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13081,25-44,2900,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13082,45+,520,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13083,18-24,2100,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13084,25-44,1900,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13085,45+,220,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13086,18-24,3500,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13087,25-44,15000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13088,45+,1900,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13089,18-24,1800,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13090,25-44,8400,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13091,45+,1000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13092,18-24,4600,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13093,25-44,11000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13094,45+,2400,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13095,18-24,3000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13096,25-44,8200,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13097,45+,1400,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13098,18-24,1700,ALL,Others,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13099,25-44,4000,ALL,Others,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13100,45+,540,ALL,Others,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13101,18-24,1300,ALL,Others,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13102,25-44,2400,ALL,Others,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13103,45+,340,ALL,Others,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13104,18-24,410,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,EG
13105,25-44,770,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,EG
13106,45+,80,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,EG
13107,18-24,280,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,EG
13108,25-44,380,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,EG
13109,45+,0,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,EG
13110,18-24,130,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,EG
13111,25-44,340,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,EG
13112,45+,80,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,EG
13113,18-24,130,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,EG
13114,25-44,180,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,EG
13115,45+,0,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,EG
13116,18-24,210,ALL,India,1.0,NOTSELECTED,High School,1489924519,luxury goods,EG
13117,25-44,130,ALL,India,1.0,NOTSELECTED,High School,1489924519,luxury goods,EG
